"week","team","man_coverage_rate","zone_coverage_rate"
1,"ARI",0.505,0.495
2,"ARI",0.427,0.573
3,"ARI",0.465,0.535
4,"ARI",0.475,0.525
5,"ARI",0.466,0.534
6,"ARI",0.446,0.554
7,"ARI",0.51,0.49
8,"ARI",0.446,0.554
9,"ARI",0.531,0.469
10,"ARI",0.447,0.553
11,"ARI",0.502,0.498
12,"ARI",0.541,0.459
13,"ARI",0.394,0.606
14,"ARI",0.439,0.561
15,"ARI",0.445,0.555
16,"ARI",0.475,0.525
17,"ARI",0.439,0.561
18,"ARI",0.35,0.65
1,"ATL",0.352,0.648
2,"ATL",0.503,0.497
3,"ATL",0.438,0.562
4,"ATL",0.379,0.621
5,"ATL",0.443,0.557
6,"ATL",0.499,0.501
7,"ATL",0.526,0.474
8,"ATL",0.433,0.567
9,"ATL",0.44,0.56
10,"ATL",0.379,0.621
11,"ATL",0.468,0.532
12,"ATL",0.424,0.576
13,"ATL",0.468,0.532
14,"ATL",0.478,0.522
15,"ATL",0.491,0.509
16,"ATL",0.426,0.574
17,"ATL",0.47,0.53
18,"ATL",0.381,0.619
1,"BAL",0.469,0.531
2,"BAL",0.466,0.534
3,"BAL",0.403,0.597
4,"BAL",0.501,0.499
5,"BAL",0.508,0.492
6,"BAL",0.486,0.514
7,"BAL",0.53,0.47
8,"BAL",0.471,0.529
9,"BAL",0.445,0.555
10,"BAL",0.517,0.483
11,"BAL",0.468,0.532
12,"BAL",0.558,0.442
13,"BAL",0.483,0.517
14,"BAL",0.526,0.474
15,"BAL",0.513,0.487
16,"BAL",0.469,0.531
17,"BAL",0.563,0.437
18,"BAL",0.526,0.474
1,"BUF",0.504,0.496
2,"BUF",0.511,0.489
3,"BUF",0.527,0.473
4,"BUF",0.504,0.496
5,"BUF",0.38,0.62
6,"BUF",0.511,0.489
7,"BUF",0.485,0.515
8,"BUF",0.507,0.493
9,"BUF",0.523,0.477
10,"BUF",0.556,0.444
11,"BUF",0.471,0.529
12,"BUF",0.552,0.448
13,"BUF",0.513,0.487
14,"BUF",0.542,0.458
15,"BUF",0.537,0.463
16,"BUF",0.529,0.471
17,"BUF",0.458,0.542
18,"BUF",0.496,0.504
1,"CAR",0.475,0.525
2,"CAR",0.412,0.588
3,"CAR",0.428,0.572
4,"CAR",0.473,0.527
5,"CAR",0.481,0.519
6,"CAR",0.469,0.531
7,"CAR",0.415,0.585
8,"CAR",0.406,0.594
9,"CAR",0.511,0.489
10,"CAR",0.46,0.54
11,"CAR",0.454,0.546
12,"CAR",0.445,0.555
13,"CAR",0.402,0.598
14,"CAR",0.474,0.526
15,"CAR",0.441,0.559
16,"CAR",0.443,0.557
17,"CAR",0.487,0.513
18,"CAR",0.483,0.517
1,"CHI",0.506,0.494
2,"CHI",0.431,0.569
3,"CHI",0.476,0.524
4,"CHI",0.506,0.494
5,"CHI",0.406,0.594
6,"CHI",0.416,0.584
7,"CHI",0.405,0.595
8,"CHI",0.392,0.608
9,"CHI",0.453,0.547
10,"CHI",0.476,0.524
