"RK","PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1","Ashton Jeanty",LV,"RB1","21","1","1","1.0","0.0","0"
"2","Omarion Hampton",LAC,"RB2","22","2","11","3.1","1.8","0"
"3","Tetairoa McMillan",CAR,"WR1","22","2","8","3.5","1.3","0"
"4","Travis Hunter",JAC,"WR2","22","2","9","3.7","1.5","0"
"5","TreVeyon Henderson",NE,"RB3","22","3","15","6.3","2.7","0"
"6","Quinshon Judkins",CLE,"RB4","21","3","18","7.8","3.6","+1"
"7","Emeka Egbuka",TB,"WR3","22","3","18","8.7","2.9","+3"
"8","Tyler Warren",IND,"TE1","23","5","17","9.3","2.8","+7"
"9","Kaleb Johnson",PIT,"RB5","21","4","18","9.9","3.0","-1"
"10","Colston Loveland",CHI,"TE2","21","5","20","10.7","3.5","+6"
"11","RJ Harvey",DEN,"RB6","24","4","30","11.3","5.0","-5"
"12","Matthew Golden",GB,"WR4","21","7","21","11.7","3.1","-3"
"13","Luther Burden III",CHI,"WR5","21","4","19","12.4","3.7","0"
"14","Cameron Ward",TEN,"QB1","23","5","24","13.1","3.7","0"
"15","Tre Harris",LAC,"WR6","23","7","22","14.2","3.0","+2"
"16","Jayden Higgins",HOU,"WR7","22","8","28","15.3","4.3","-4"
"17","Cam Skattebo",NYG,"RB7","23","10","25","18.3","2.9","-6"
"18","Jack Bech",LV,"WR8","22","13","28","19.3","3.8","+1"
"19","Jaxson Dart",NYG,"QB2","22","12","36","20.7","5.4","+6"
"20","Kyle Williams",NE,"WR9","22","13","51","21.5","6.9","+1"
"21","Jaylin Noel",HOU,"WR10","22","14","36","22.4","5.6","+1"
"22","Bhayshul Tuten",JAC,"RB8","23","16","44","23.0","6.4","-4"
"23","Dylan Sampson",CLE,"RB9","20","19","46","28.0","6.1","+1"
"24","Jalen Royals",KC,"WR11","22","16","48","29.2","6.3","+6"
"25","Mason Taylor",NYJ,"TE3","21","19","54","29.6","8.5","-2"
"26","Jalen Milroe",SEA,"QB3","22","17","53","30.4","7.7","+11"
"27","Elijah Arroyo",SEA,"TE4","22","20","65","30.5","8.1","+7"
"28","Jaydon Blue",DAL,"RB10","21","19","64","28.7","9.0","-8"
