Team,Value,Comment
Arizona Cardinals,1.12,Below avg OL
Atlanta Falcons,0.95,Elite OL
Baltimore Ravens,1.07,Some holes
Buffalo Bills,1.01,Average
Carolina Panthers,1.16,Bad OL
Chicago Bears,1.13,Young OL
Cincinnati Bengals,1.03,Improving
Cleveland Browns,0.93,Elite OL
Dallas Cowboys,1.00,Average
Denver Broncos,1.10,Liability
Detroit Lions,0.98,Good OL
Green Bay Packers,1.04,Middle
Houston Texans,1.06,Average
Indianapolis Colts,0.97,Strong
Jacksonville Jaguars,1.09,Liability
Kansas City Chiefs,1.01,Average
Las Vegas Raiders,1.08,Below avg OL
Los Angeles Chargers,1.09,Middle
Los Angeles Rams,1.12,Below avg OL
Miami Dolphins,1.07,Middle
Minnesota Vikings,1.10,Liability
New England Patriots,1.08,Below avg OL
New Orleans Saints,1.02,Middle
New York Giants,1.15,One of worst
New York Jets,1.13,Very bad
Philadelphia Eagles,1.10,Regression
Pittsburgh Steelers,1.07,Some holes
San Francisco 49ers,0.95,Elite OL
Seattle Seahawks,1.03,Average
Tampa Bay Buccaneers,1.08,Middle
Tennessee Titans,1.14,Bad OL
Washington Commanders,1.15,Very bad
