team,position,depth,name,age,college,ecr,adp,rank_2024
ARI,QB,QB1,Kyler Murray,27,Oklahoma,8,9,11
ARI,QB,QB2,Jacoby Brissett,32,North Carolina State,69,,45
ARI,QB,QB3,Clayton Tune,26,Houston,81,,88
ARI,RB,RB1,James Conner,30,Pittsburgh,19,20,8
ARI,RB,RB2,Trey Benson,22,Florida State,46,45,63
ARI,RB,RB3,Emari Demercado,26,TCU,120,,64
ARI,RB,RB4,Michael Carter,26,North Carolina,123,,99
ARI,WR,WR1,Marvin Harrison Jr.,22,Ohio State,19,18,31
ARI,WR,WR2,Michael Wilson,25,Stanford,76,80,62
ARI,WR,WR3,Greg Dortch,27,Wake Forest,143,,103
ARI,WR,WR4,Zay Jones,30,East Carolina,156,,172
ARI,TE,TE1,Trey McBride,25,Colorado State,3,2,3
ARI,TE,TE2,Elijah Higgins,24,Stanford,62,,43
ARI,TE,TE3,Tip Reiman,23,Illinois,96,,89
ATL,QB,QB1,Michael Penix Jr.,25,Washington,24,23,48
ATL,QB,QB2,Kirk Cousins,36,Michigan State,39,38,20
ATL,RB,RB1,Bijan Robinson,23,Texas,2,1,4
ATL,RB,RB2,Tyler Allgeier,25,BYU,45,54,38
ATL,RB,RB3,Jase McClellan,22,Alabama,133,,118
ATL,WR,WR1,Drake London,23,USC,10,9,11
ATL,WR,WR2,Darnell Mooney,27,Tulane,46,52,25
ATL,WR,WR3,Ray-Ray McCloud III,28,Clemson,122,98,68
ATL,WR,WR4,Nick Nash,24,San Jose State,152,,-
ATL,WR,WR5,KhaDarel Hodge,30,Prairie View A&M,178,,123
ATL,WR,WR6,Casey Washington,24,Illinois,193,,194
ATL,TE,TE1,Kyle Pitts,24,Florida,16,16,12
ATL,TE,TE2,Charlie Woerner,27,Georgia,89,,84
BAL,QB,QB1,Lamar Jackson,28,Louisville,2,2,1
BAL,QB,QB2,Cooper Rush,31,Central Michigan,57,,33
BAL,RB,RB1,Derrick Henry,31,Alabama,4,6,2
BAL,RB,RB2,Justice Hill,27,Oklahoma State,70,59,41
BAL,RB,RB3,Keaton Mitchell,23,East Carolina,73,93,112
BAL,RB,RB4,Rasheen Ali,24,Marshall,142,,120
BAL,WR,WR1,Zay Flowers,24,Boston College,20,27,22
BAL,WR,WR2,Rashod Bateman,25,Minnesota,56,63,32
BAL,WR,WR3,DeAndre Hopkins,32,Clemson,67,69,45
BAL,WR,WR4,Devontez Walker,23,North Carolina,164,,150
BAL,WR,WR5,LaJohntay Wester,23,Colorado,191,,-
BAL,TE,TE1,Mark Andrews,29,Oklahoma,5,8,5
BAL,TE,TE2,Isaiah Likely,25,Coastal Carolina,18,19,16
BAL,TE,TE3,Charlie Kolar,26,Iowa State,82,,54
BUF,QB,QB1,Josh Allen,29,Wyoming,1,1,2
BUF,QB,QB2,Mitchell Trubisky,30,North Carolina,66,,59
BUF,RB,RB1,James Cook,25,Georgia,12,14,7
BUF,RB,RB2,Ray Davis,25,Kentucky,43,51,37
BUF,RB,RB3,Ty Johnson,27,Maryland,85,89,47
BUF,WR,WR1,Khalil Shakir,25,Boise State,42,40,38
BUF,WR,WR2,Keon Coleman,22,Florida State,48,53,60
BUF,WR,WR3,Joshua Palmer,25,Tennessee,73,72,72
BUF,WR,WR4,Elijah Moore,25,Ole Miss,100,103,82
BUF,WR,WR5,Curtis Samuel,28,Ohio State,127,,113
BUF,WR,WR6,Kaden Prather,22,Maryland,166,,-
BUF,TE,TE1,Dalton Kincaid,25,Utah,14,14,26
BUF,TE,TE2,Dawson Knox,28,Ole Miss,45,,38
BUF,TE,TE3,Jackson Hawes,24,Georgia Tech,80,,-
CAR,QB,QB1,Bryce Young,23,Alabama,22,24,24
CAR,QB,QB2,Andy Dalton,37,TCU,54,,41
CAR,RB,RB1,Chuba Hubbard,25,Oklahoma State,17,19,13
CAR,RB,RB2,Rico Dowdle,26,South Carolina,44,50,24
CAR,RB,RB3,Trevor Etienne,20,Georgia,77,74,-
CAR,RB,RB4,Jonathon Brooks,21,Texas,110,,113
CAR,WR,WR1,Tetairoa McMillan,22,Arizona,31,26,-
CAR,WR,WR2,Adam Thielen,34,Minnesota State,65,65,50
CAR,WR,WR3,Jalen Coker,23,Holy Cross,70,95,85
CAR,WR,WR4,Xavier Legette,24,South Carolina,71,66,67
CAR,WR,WR5,Hunter Renfrow,29,Clemson,157,,-
CAR,WR,WR6,Jimmy Horn Jr.,22,Colorado,161,81,-
CAR,WR,WR7,Kobe Hudson,,UCF,183,,-
CAR,TE,TE1,Ja'Tavion Sanders,22,Texas,28,39,39
CAR,TE,TE2,Tommy Tremble,24,Notre Dame,51,,50
CAR,TE,TE3,Mitchell Evans,22,Notre Dame,53,,-
CHI,QB,QB1,Caleb Williams,23,USC,13,11,15
CHI,QB,QB2,Tyson Bagent,24,Shepherd (WV),62,,87
CHI,QB,QB3,Case Keenum,37,Houston,79,,-
CHI,RB,RB1,D'Andre Swift,26,Georgia,27,27,19
CHI,RB,RB2,Roschon Johnson,24,Texas,57,65,53
CHI,RB,RB3,Kyle Monangai,22,Rutgers,72,70,-
CHI,WR,WR1,DJ Moore,28,Maryland,22,20,30
CHI,WR,WR2,Rome Odunze,22,Washington,37,37,47
CHI,WR,WR3,Luther Burden III,21,Missouri,55,50,-
CHI,WR,WR4,Olamide Zaccheaus,27,Virginia,138,,77
