rank,player,team,pos,age,games,games_started,cmp,pass_att,pass_yds,pass_td,int,rush_att,rush_yds,yds_per_att,rush_td,tgt,rec,rec_yds,yds_per_rec,rec_td,fmb,fmb_lost,total_td,two_pt_made,two_pt_pass,fantasy_pts,ppr_pts,draftkings_pts,fanduel_pts,value_based_draft,pos_rank,ovr_rank
1,Saquon Barkley,PHI,RB,27,16,16,0.0,0.0,0.0,0.0,0.0,345.0,2005.0,5.81,13.0,43.0,33.0,278.0,8.42,2.0,2.0,1.0,15,3.0,,322.0,355.3,362.3,338.8,163.0,1,1.0
2,Derrick Henry,BAL,RB,30,17,17,0.0,0.0,0.0,0.0,0.0,325.0,1921.0,5.91,16.0,22.0,19.0,193.0,10.16,2.0,3.0,1.0,18,,,317.0,336.4,343.4,326.9,159.0,2,2.0
3,Jahmyr Gibbs,DET,RB,22,17,4,0.0,0.0,0.0,0.0,0.0,250.0,1412.0,5.65,16.0,63.0,52.0,517.0,9.94,4.0,1.0,1.0,20,,,311.0,362.9,369.9,336.9,153.0,3,3.0
4,Lamar Jackson,BAL,QB,27,17,17,316.0,474.0,4172.0,41.0,4.0,139.0,915.0,6.58,4.0,0.0,0.0,0.0,,0.0,10.0,5.0,4,1.0,,430.0,430.4,445.4,434.4,140.0,1,4.0
5,Ja'Marr Chase,CIN,WR,24,17,16,0.0,0.0,0.0,0.0,0.0,3.0,32.0,10.67,0.0,175.0,127.0,1708.0,13.45,17.0,0.0,0.0,17,,,276.0,403.0,406.0,339.5,138.0,1,5.0
6,Bijan Robinson,ATL,RB,22,17,17,0.0,0.0,0.0,0.0,0.0,304.0,1456.0,4.79,14.0,72.0,61.0,431.0,7.07,1.0,1.0,0.0,15,1.0,,281.0,341.7,347.7,311.2,124.0,4,6.0
7,Josh Jacobs,GB,RB,26,17,17,0.0,0.0,0.0,0.0,0.0,301.0,1329.0,4.42,15.0,43.0,36.0,342.0,9.5,1.0,4.0,3.0,16,,,257.0,293.1,302.1,275.1,102.0,5,7.0
8,Josh Allen,BUF,QB,28,17,17,307.0,483.0,3731.0,28.0,6.0,102.0,531.0,5.21,12.0,0.0,0.0,7.0,,1.0,5.0,2.0,13,,1.0,379.0,379.0,393.0,385.0,91.0,2,8.0
9,Joe Burrow,CIN,QB,28,17,17,460.0,652.0,4918.0,43.0,9.0,42.0,201.0,4.79,2.0,0.0,0.0,0.0,,0.0,11.0,5.0,2,,,373.0,372.8,392.8,381.8,85.0,3,9.0
10,Kyren Williams,LAR,RB,24,16,16,0.0,0.0,0.0,0.0,0.0,316.0,1299.0,4.11,14.0,40.0,34.0,182.0,5.35,2.0,5.0,3.0,16,,,238.0,272.1,281.1,255.1,84.0,6,10.0
11,James Cook,BUF,RB,25,16,16,0.0,0.0,0.0,0.0,0.0,207.0,1009.0,4.87,16.0,38.0,32.0,258.0,8.06,2.0,1.0,0.0,18,,,235.0,266.7,272.7,250.7,81.0,7,11.0
12,Justin Jefferson,MIN,WR,25,17,17,1.0,1.0,22.0,0.0,0.0,1.0,3.0,3.0,0.0,154.0,103.0,1533.0,14.88,10.0,1.0,0.0,10,,,214.0,317.5,320.5,266.0,80.0,2,12.0
13,Baker Mayfield,TB,QB,29,17,17,407.0,570.0,4500.0,41.0,16.0,60.0,378.0,6.3,3.0,0.0,0.0,0.0,,0.0,13.0,2.0,3,,1.0,366.0,365.8,389.8,381.8,79.0,4,13.0
14,Jonathan Taylor,IND,RB,25,14,13,0.0,0.0,0.0,0.0,0.0,303.0,1431.0,4.72,11.0,31.0,18.0,136.0,7.56,1.0,4.0,1.0,12,,,227.0,244.7,251.7,235.7,74.0,8,14.0
15,George Kittle,SF,TE,31,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,94.0,78.0,1106.0,14.18,8.0,0.0,0.0,8,,,159.0,236.6,239.6,197.6,70.0,1,15.0
16,Jayden Daniels,WAS,QB,24,17,17,331.0,480.0,3568.0,25.0,9.0,148.0,891.0,6.02,6.0,0.0,0.0,0.0,,0.0,5.0,0.0,6,1.0,2.0,356.0,355.8,370.8,364.8,69.0,5,16.0
17,De'Von Achane,MIA,RB,23,17,16,0.0,0.0,0.0,0.0,0.0,203.0,907.0,4.47,6.0,87.0,78.0,592.0,7.59,6.0,1.0,0.0,12,,,222.0,299.9,305.9,260.9,69.0,9,17.0
18,Amon-Ra St. Brown,DET,WR,25,17,17,1.0,1.0,7.0,1.0,0.0,2.0,6.0,3.0,0.0,141.0,115.0,1263.0,10.98,12.0,1.0,1.0,12,,,201.0,316.2,320.2,258.7,67.0,3,18.0
19,Brian Thomas,JAC,WR,22,17,16,0.0,0.0,0.0,0.0,0.0,6.0,48.0,8.0,0.0,133.0,87.0,1282.0,14.74,10.0,0.0,0.0,10,2.0,,197.0,284.0,287.0,240.5,63.0,4,19.0
20,Brock Bowers,LV,TE,22,17,16,0.0,0.0,0.0,0.0,0.0,5.0,13.0,2.6,0.0,153.0,112.0,1194.0,10.66,5.0,0.0,0.0,5,,,151.0,262.7,265.7,206.7,63.0,2,20.0
21,James Conner,ARI,RB,29,16,16,0.0,0.0,0.0,0.0,0.0,236.0,1094.0,4.64,8.0,55.0,47.0,414.0,8.81,1.0,4.0,1.0,9,2.0,,207.0,253.8,260.8,230.3,55.0,10,21.0
22,Joe Mixon,HOU,RB,28,14,14,0.0,1.0,0.0,0.0,0.0,245.0,1016.0,4.15,11.0,52.0,36.0,309.0,8.58,1.0,0.0,0.0,12,,,205.0,240.5,246.5,222.5,53.0,11,22.0
23,Terry McLaurin,WAS,WR,29,17,17,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,117.0,82.0,1096.0,13.37,13.0,1.0,1.0,13,,,186.0,267.8,271.8,226.8,53.0,5,23.0
24,Trey McBride,ARI,TE,25,16,16,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,147.0,111.0,1146.0,10.32,2.0,0.0,0.0,4,,,139.0,249.8,252.8,194.3,51.0,3,24.0
